level,story,question_type,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,inference,0.05,0.025,0.012,0.094,0.037,0.461,0.291
WAYPOINT0,cat,metacognitive,0.075,0.05,0.04,0.125,0.064,0.468,0.306
WAYPOINT0,lying,inference,0.075,0.025,0.012,0.047,0.036,0.442,0.28
WAYPOINT0,lying,metacognitive,0.138,0.012,0.031,0.062,0.058,0.464,0.302
WAYPOINT0,stealing,inference,0.2,0.0,0.023,0.078,0.07,0.452,0.299
WAYPOINT0,stealing,metacognitive,0.125,0.0,0.023,0.156,0.063,0.47,0.307
WAYPOINT1,cat,inference,0.375,0.15,0.133,0.484,0.251,0.514,0.409
WAYPOINT1,cat,metacognitive,0.3,0.125,0.121,0.344,0.2,0.522,0.393
WAYPOINT1,lying,inference,0.362,0.125,0.067,0.312,0.192,0.515,0.386
WAYPOINT1,lying,metacognitive,0.4,0.088,0.15,0.219,0.207,0.53,0.401
WAYPOINT1,stealing,inference,0.338,0.078,0.085,0.234,0.169,0.52,0.379
WAYPOINT1,stealing,metacognitive,0.425,0.062,0.118,0.125,0.182,0.53,0.391
WAYPOINT2,cat,inference,0.088,0.2,0.058,0.312,0.139,0.516,0.365
WAYPOINT2,cat,metacognitive,0.15,0.175,0.081,0.219,0.142,0.518,0.368
WAYPOINT2,lying,inference,0.075,0.25,0.071,0.281,0.148,0.519,0.371
WAYPOINT2,lying,metacognitive,0.038,0.2,0.056,0.281,0.121,0.541,0.373
WAYPOINT2,stealing,inference,0.025,0.203,0.04,0.234,0.106,0.514,0.351
WAYPOINT2,stealing,metacognitive,0.025,0.297,0.102,0.359,0.17,0.549,0.397
WAYPOINT3,cat,inference,0.2,0.312,0.154,0.438,0.248,0.537,0.421
WAYPOINT3,cat,metacognitive,0.462,0.388,0.304,0.297,0.363,0.546,0.473
WAYPOINT3,lying,inference,0.312,0.338,0.138,0.391,0.269,0.546,0.435
WAYPOINT3,lying,metacognitive,0.462,0.45,0.265,0.547,0.403,0.568,0.502
WAYPOINT3,stealing,inference,0.275,0.375,0.182,0.375,0.282,0.538,0.436
WAYPOINT3,stealing,metacognitive,0.338,0.469,0.186,0.406,0.328,0.562,0.468
