level,story,question,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,keyword_composite,semantic_quality,overall_composite
WAYPOINT0,cat,q1,0.05,0.05,0.017,0.062,0.04,0.427,0.272
WAYPOINT0,cat,q2,0.05,0.0,0.0,0.0,0.012,0.41,0.251
WAYPOINT0,cat,q3,0.05,0.0,0.0,0.0,0.012,0.436,0.266
WAYPOINT0,cat,q4,0.05,0.05,0.0,0.062,0.034,0.461,0.29
WAYPOINT0,lying,q1,0.0,0.0,0.0,0.0,0.0,0.415,0.249
WAYPOINT0,lying,q2,0.0,0.0,0.0,0.0,0.0,0.46,0.276
WAYPOINT0,lying,q3,0.1,0.0,0.0,0.125,0.044,0.418,0.268
WAYPOINT0,lying,q4,0.05,0.0,0.0,0.062,0.022,0.441,0.273
WAYPOINT0,stealing,q1,0.05,0.0,0.008,0.062,0.025,0.436,0.271
WAYPOINT0,stealing,q2,0.1,0.0,0.0,0.125,0.044,0.426,0.273
WAYPOINT0,stealing,q3,0.1,0.0,0.0,0.0,0.025,0.419,0.261
WAYPOINT0,stealing,q4,0.1,0.0,0.008,0.062,0.037,0.434,0.275
WAYPOINT1,cat,q1,0.25,0.1,0.108,0.562,0.21,0.509,0.389
WAYPOINT1,cat,q2,0.2,0.0,0.0,0.688,0.153,0.494,0.358
WAYPOINT1,cat,q3,0.3,0.0,0.0,0.25,0.112,0.5,0.345
WAYPOINT1,cat,q4,0.45,0.2,0.258,0.25,0.29,0.528,0.433
WAYPOINT1,lying,q1,0.3,0.05,0.108,0.062,0.135,0.505,0.357
WAYPOINT1,lying,q2,0.55,0.2,0.158,0.25,0.28,0.549,0.442
WAYPOINT1,lying,q3,0.2,0.0,0.0,0.062,0.059,0.501,0.324
WAYPOINT1,lying,q4,0.3,0.0,0.058,0.062,0.105,0.516,0.351
WAYPOINT1,stealing,q1,0.45,0.0,0.15,0.312,0.212,0.519,0.396
WAYPOINT1,stealing,q2,0.3,0.0,0.033,0.0,0.087,0.542,0.36
WAYPOINT1,stealing,q3,0.2,0.125,0.0,0.062,0.091,0.508,0.341
WAYPOINT1,stealing,q4,0.55,0.0,0.092,0.25,0.207,0.509,0.388
WAYPOINT2,cat,q1,0.2,0.1,0.075,0.438,0.167,0.502,0.368
WAYPOINT2,cat,q2,0.0,0.1,0.0,0.062,0.034,0.514,0.322
WAYPOINT2,cat,q3,0.05,0.2,0.0,0.375,0.119,0.532,0.367
WAYPOINT2,cat,q4,0.1,0.35,0.042,0.188,0.155,0.528,0.379
WAYPOINT2,lying,q1,0.0,0.05,0.008,0.062,0.025,0.512,0.317
WAYPOINT2,lying,q2,0.2,0.4,0.017,0.688,0.259,0.578,0.45
WAYPOINT2,lying,q3,0.1,0.1,0.017,0.188,0.084,0.507,0.338
WAYPOINT2,lying,q4,0.15,0.25,0.067,0.125,0.142,0.51,0.363
WAYPOINT2,stealing,q1,0.0,0.125,0.042,0.312,0.093,0.499,0.336
WAYPOINT2,stealing,q2,0.0,0.375,0.125,0.25,0.175,0.548,0.399
WAYPOINT2,stealing,q3,0.0,0.25,0.021,0.375,0.126,0.528,0.367
WAYPOINT2,stealing,q4,0.0,0.25,0.031,0.312,0.12,0.543,0.374
WAYPOINT3,cat,q1,0.1,0.15,0.058,0.438,0.149,0.529,0.377
WAYPOINT3,cat,q2,0.5,0.25,0.192,0.375,0.311,0.541,0.449
WAYPOINT3,cat,q3,0.0,0.4,0.042,0.375,0.171,0.539,0.392
WAYPOINT3,cat,q4,0.45,0.35,0.25,0.5,0.362,0.562,0.482
WAYPOINT3,lying,q1,0.35,0.3,0.15,0.375,0.271,0.539,0.432
WAYPOINT3,lying,q2,0.55,0.35,0.258,0.5,0.39,0.574,0.501
WAYPOINT3,lying,q3,0.1,0.3,0.092,0.312,0.179,0.557,0.406
WAYPOINT3,lying,q4,0.3,0.4,0.158,0.625,0.324,0.57,0.471
WAYPOINT3,stealing,q1,0.5,0.062,0.188,0.312,0.253,0.541,0.426
WAYPOINT3,stealing,q2,0.3,0.5,0.106,0.438,0.303,0.57,0.463
WAYPOINT3,stealing,q3,0.0,0.375,0.052,0.312,0.159,0.531,0.382
WAYPOINT3,stealing,q4,0.55,0.438,0.338,0.5,0.44,0.564,0.514
